epoch,train/accuracy,train/loss,train/time_mean,train/time_std,valid/accuracy,valid/loss,valid/time_mean,valid/time_std
1,0.52802,1.3027181530791982,0.003934105525979914,0.0004421311634613457,0.6582,0.9558509238802206,0.002813624865573514,0.00031145738204389946
2,0.7064,0.8363204774990802,0.004302673946217868,0.0008107947036126079,0.7454,0.7232406214593698,0.0027491816203249397,7.772004645828437e-05
3,0.76642,0.6739180298833152,0.003927613918803068,0.00012129385451828756,0.7789,0.653386508266385,0.0028088448752634997,0.0003455171542279467
4,0.7974,0.5810466248372848,0.003916158200854537,0.00025838273065977035,0.7917,0.5981423713433476,0.002888385958116191,0.000384763411234585
5,0.82356,0.508113784733409,0.00393234738388767,5.2510534931853076e-05,0.8094,0.5568144219085431,0.0032322288497294203,0.0006724808383302288
6,0.841,0.4585139106813716,0.003924289351246421,0.00010243057757223053,0.8144,0.5469688423715842,0.0027578438720942964,0.0001982694962808588
7,0.85614,0.4159909252337134,0.003972206691604413,0.00033400038778373057,0.8183,0.5421067544827446,0.0027724892940013683,0.0002956924591866022
8,0.87034,0.37790905814367615,0.003959003644991295,0.0002990246382403165,0.825,0.5269015194794622,0.002756353000135417,7.03149406721857e-05
9,0.88192,0.3392494921301392,0.0038975338964260964,0.000200076385911213,0.8231,0.5283761478889103,0.0027332125304057784,7.263158868482379e-05
10,0.88772,0.318072269527064,0.0039068610102343205,0.00024231072805864837,0.838,0.492251881823753,0.002753045974443808,7.551012139648614e-05
11,0.89702,0.28942749665493545,0.003916243085644131,0.00011414255321265707,0.8419,0.4943842730535486,0.0031868584887409126,0.0006872238872390605
12,0.90856,0.2630460910828008,0.003943578069748261,0.0003521927328197888,0.8319,0.5354368345091899,0.002837643009801462,0.0003987064885682373
13,0.9137,0.24427864787789086,0.0039127881369490644,4.545988572711946e-05,0.8413,0.5229690282727583,0.0027956001214796866,0.0002796909118204568
14,0.91722,0.2342278508616043,0.003923452753740198,0.00015841197364192952,0.8356,0.5400247748810262,0.0026912675079446623,8.492069476625627e-05
15,0.92442,0.21411823088056525,0.0039620381752484895,0.00011689083074275386,0.835,0.5554873183274421,0.0027101651372597405,5.910902278118272e-05
16,0.92852,0.20207873393405498,0.003932975818457735,0.0002392925544615059,0.8429,0.5284471363305284,0.002808091702767627,0.0003915509020946823
17,0.93212,0.19131550348708817,0.0039000852877730434,0.00020647262653724767,0.8414,0.5475131049752235,0.0027462548403625045,8.381216436408036e-05
18,0.9349,0.178692457104675,0.0039583507268331685,0.00017712997216277828,0.8428,0.5514277653715101,0.0027214849136487844,7.26527949999898e-05
19,0.93912,0.17068806810689446,0.003966944962921122,0.00027693119772456687,0.8367,0.5849888684412542,0.0032123033608757734,0.0007022554175110782
20,0.94274,0.16160977261185036,0.00407995022137034,0.0005814474754740125,0.8405,0.5936973704792821,0.0027327535144156053,5.134857886843749e-05
21,0.94604,0.1523185993901675,0.004290761737737729,0.000790334692394963,0.8459,0.5828568007523259,0.002727257131017557,8.55472996657359e-05
22,0.94866,0.14584428903313684,0.004387280293590996,0.000865557188165381,0.8426,0.5984667575540253,0.0028653275336885746,0.0004887983471075774
23,0.94818,0.14143876074047632,0.003866926049219076,6.534266817591035e-05,0.8422,0.5994645029354019,0.002718896431474241,6.4427296819082e-05
24,0.95282,0.13628132035449309,0.0039008254944914024,0.00014907497703843281,0.846,0.589895415563172,0.002729844936016633,6.665398660607134e-05
25,0.95316,0.13196276999671566,0.003880602944824898,0.0001374404836347156,0.8431,0.6091202960941738,0.0031884871053867586,0.0006551993370458364
26,0.95692,0.12507148157574013,0.003935197824173002,0.00024555164026888825,0.8436,0.604243636821596,0.002804948744527176,0.00030935773705317914
27,0.9551,0.12389103091075797,0.0039820898963464765,0.0003674983749916458,0.8457,0.6010908658940571,0.0027792624122072265,6.654179302954858e-05
28,0.95758,0.11935564611042758,0.0039031312808568944,0.0001285641309754613,0.8469,0.5797716750980566,0.0027101190830515804,7.630325673535181e-05
29,0.95914,0.11392827515543384,0.00393261912728367,0.00024746385238261166,0.8426,0.6099840682059431,0.0027221938274940623,7.057710458982444e-05
30,0.96086,0.11099477214303752,0.003900979700550532,5.739027342123453e-05,0.8427,0.6220901246173695,0.0026968490443154856,4.615142444659673e-05
31,0.98098,0.058039978394429044,0.003964516354494765,0.0003256045909414228,0.8615,0.5388414168986269,0.002718679172263225,5.5432772537495455e-05
32,0.98834,0.03846639070137906,0.003916062065241909,4.232112929143257e-05,0.8637,0.5409776677672093,0.002729555683622595,0.0001506628256066243
33,0.99192,0.027106243156502053,0.0040370662488407975,0.0005472165167225662,0.8649,0.554528758762934,0.0029675353097105652,0.000581327070828132
34,0.99442,0.020482118231359387,0.003927597486306501,0.00018452915438698915,0.8657,0.5830736317145176,0.0030133260222039923,0.0005621393455703929
35,0.99566,0.016226106845867307,0.0038896235629173755,0.00017105153701030601,0.8659,0.5992046736252193,0.0027530065591634136,0.0002793260840182452
36,0.99598,0.01398087528391824,0.003928279551583074,0.00023316341729568815,0.8656,0.6256386740996053,0.002814348169496267,0.00041302945191634146
37,0.99724,0.011082329389878137,0.00394102285978976,0.00024284753130195236,0.8668,0.6290664364830755,0.0032280293384095663,0.000669009267086205
38,0.99796,0.008947533756132242,0.0038665987229952944,4.7720392011080285e-05,0.8656,0.6442783733431142,0.0027355439710598545,6.725525453327947e-05
39,0.99784,0.008712847326820811,0.0039027169942032064,9.728909670559463e-05,0.8654,0.661231105843672,0.003184811153263895,0.0006805156749677762
40,0.99794,0.007883829131998928,0.0040990333538074184,0.0005747078850084976,0.8669,0.6736318055814067,0.0029994578533067617,0.0005714955539804586
41,0.99822,0.006949253971387542,0.003865276094066797,3.8371990737460966e-05,0.8653,0.6952814508360415,0.0027294960894152158,7.352990372692688e-05
42,0.99788,0.007466157220222976,0.003904348653352571,0.00014786820186367988,0.8651,0.7017357422235294,0.002775873984194386,6.921096131303378e-05
43,0.9984,0.006082199013393351,0.003878397363417836,0.0001107315748604749,0.8664,0.7111444828418878,0.0027562784727572795,9.034594686653629e-05
44,0.99872,0.00537139104389641,0.003942080580849354,0.0002585398125605153,0.8667,0.714794003972992,0.0027149560864636905,6.019546118494962e-05
45,0.99872,0.005222271634498165,0.003924034449211118,0.00018656290006982494,0.8686,0.7311952882490981,0.002700103428221297,5.097355647124461e-05
46,0.9988,0.004898103751285063,0.003884672601332635,5.6964180602371734e-05,0.8691,0.7307731200473758,0.0032321202236805305,0.0006840132301767084
47,0.9987,0.004871693859859986,0.003914395103704815,0.00013791619177975093,0.8651,0.7490881826645269,0.0032210989490548633,0.000677484725601406
48,0.99888,0.004568891948945844,0.003926236380638465,0.00031078257480674203,0.8667,0.7497959643507156,0.002971541159725845,0.0005105711184753638
49,0.99904,0.0042904228620321725,0.003920009108247612,0.00016752406668438908,0.8681,0.7575824753449748,0.0031088429328380374,0.0006320906276081184
50,0.99896,0.004041208158070204,0.0039291319295846495,7.353453224100159e-05,0.8653,0.7698004688032138,0.0031174733769334553,0.000620216222221363
51,0.99878,0.004222215985687437,0.004012578842693792,0.0004824949667834797,0.8658,0.7675946627657253,0.002720427341981807,9.230739915032517e-05
52,0.99902,0.004109545617399502,0.003946693630813868,0.0003710098887320248,0.8629,0.7860943039480489,0.0027234424410511357,6.933072594062832e-05
53,0.99896,0.0038131867664713015,0.0038733745623606816,4.445915755521219e-05,0.8644,0.7823483083908931,0.002927056645158866,0.00048640871676313406
54,0.99918,0.0032887964658987346,0.003909811774234931,0.0001568858710452067,0.8685,0.801664977361219,0.0028473832750058443,0.0003575269241423878
55,0.99898,0.00378052333056431,0.003928662694833888,0.0001687363553988377,0.8651,0.8101895979513376,0.002747564223507931,6.982602281963068e-05
56,0.99866,0.0041435091295687725,0.003961480359512355,0.0002306688407441114,0.8661,0.8032031659358225,0.0031743436354536416,0.0006420693287244617
57,0.99896,0.003733033930462137,0.003933999218876469,7.733156468417096e-05,0.8657,0.8023281084081997,0.0028089684952246085,0.0002859082108042291
58,0.99898,0.003597706098702956,0.003922913521386356,4.012778481229778e-05,0.8671,0.8009483231047091,0.0027785360604253473,0.0002524557060769411
59,0.9992,0.00320877097618557,0.0039127095034686,0.0001037551288597728,0.8702,0.8111562879321674,0.0027641078274337778,7.160658631866409e-05
60,0.99894,0.003497550865815224,0.0039046610083462436,0.00011872124855920083,0.866,0.8104005991079556,0.0027282696964234833,5.610226274056352e-05
