epoch,train/accuracy,train/loss,train/time_mean,train/time_std,valid/accuracy,valid/loss,valid/time_mean,valid/time_std
1,0.42306,1.5611669540557813,0.003433644756330399,0.0004675195311822779,0.4849,1.3977169685851272,0.0024725841821361776,6.921333345441966e-05
2,0.54804,1.247578440151837,0.0034003470312864016,0.00033082471329139184,0.5899,1.1359679030534178,0.002639050198097404,0.000411058891536622
3,0.61194,1.0887650217067257,0.0036299740991803777,0.0006352592693653925,0.6495,0.9972002741437369,0.0024540086423092263,6.372302799834277e-05
4,0.65528,0.974237909949291,0.0033338027951883785,0.00016429556821526213,0.6569,0.9734936653615568,0.0024221525018452293,5.6299690095229995e-05
5,0.68486,0.8882009142763098,0.003423982927626281,0.0003412397753691767,0.6854,0.8926836254116827,0.0024993140700949393,7.167178372491165e-05
6,0.71154,0.817370027570639,0.003533308388969689,0.000559137425999791,0.7134,0.831047847248114,0.0024583178624706403,5.5774236497455596e-05
7,0.73378,0.7607036847108767,0.00354145154315079,0.00053176047339576,0.7241,0.7996771068999562,0.00245047229075393,5.040471784052738e-05
8,0.74928,0.7153707807615485,0.0034156184791279236,0.00025349332988857683,0.7269,0.7977720526651072,0.0025545881499550098,0.0003450196643914484
9,0.76584,0.6662266566081453,0.0033130413603331575,3.09805116246226e-05,0.7334,0.7761392816187094,0.0024266017187768354,4.72819594751166e-05
10,0.77632,0.639600306777945,0.003345907747318956,0.00021193985210059624,0.7409,0.749728668326387,0.0024708858083043925,7.088358736019276e-05
11,0.78784,0.6042503789877632,0.0033490661375060508,3.9215620728637595e-05,0.7452,0.7658117415425115,0.0024679938787609316,7.003018960556907e-05
12,0.7975,0.5730505859001431,0.0034152516723384855,0.0003851787695162484,0.7493,0.7380509148009669,0.0026656259552385216,0.0004948827900293053
13,0.80868,0.544695710190122,0.0033590557747140274,0.00010702046365322538,0.7506,0.7321505117625855,0.002787553949031262,0.0005591050141569472
14,0.8171,0.5186455008011938,0.0034322958495058994,0.00037494817284601794,0.753,0.7482114960781683,0.0027754646486520154,0.0005554160404907771
15,0.8225,0.5044341493857952,0.0035317274132938324,0.0005297769462058603,0.7588,0.7129862910023512,0.002484107885066942,6.405889073226388e-05
16,0.82832,0.4809331827375726,0.0033171234420723843,4.368552902594407e-05,0.7618,0.7138114166907228,0.002477340517424645,6.291249139817294e-05
17,0.84004,0.4555326935645105,0.0033206648189212573,9.324953778880282e-05,0.7618,0.7313515347794602,0.0025327538371925948,0.0003046135837680602
18,0.84502,0.43825633453964347,0.003338114997432995,0.00011389740940979346,0.7545,0.7784018255175112,0.0026292023800827484,0.0004737506740542367
19,0.85172,0.42055235471831476,0.003494700952624841,0.00048488102855500823,0.7733,0.7086785378071446,0.0024681424150180546,7.183588842219321e-05
20,0.85722,0.40212278184376693,0.0034334350940628394,0.0004022147729807331,0.7699,0.7343300428158178,0.0024644012906551048,0.00012455656301958788
21,0.86236,0.38740924720533826,0.00331985562307175,8.988465521635782e-05,0.7761,0.7241414861557202,0.0024766708625777708,6.328908487563229e-05
22,0.8698,0.3699026108121765,0.0033827165162705615,0.000210813652321056,0.7613,0.7551827739221981,0.002866861868987065,0.0005799789087795139
23,0.87318,0.35373317635715273,0.003532840831073453,0.0005513693076328698,0.7687,0.746277490315346,0.002438514073259947,5.808364958066701e-05
24,0.88004,0.3381017083856286,0.0035447327709701376,0.0005522903353522522,0.7626,0.7687364187769996,0.002504218856025987,0.0002539155183216263
25,0.8824,0.33195568128266706,0.0034637544452630893,0.00046365047681850283,0.7735,0.7639394746230433,0.0026160600126678936,0.00044454835525790167
26,0.88408,0.3195067759000256,0.0035740953928222914,0.0005958336289768042,0.7644,0.7919305888608622,0.002430996019244432,5.938229594729211e-05
27,0.88972,0.3076891860211422,0.0034372642995227757,0.0004435919285566701,0.7696,0.7812811154336594,0.0024824882429777483,6.302240857801763e-05
28,0.89384,0.29609797355347695,0.003464834653840453,0.0004528437752690377,0.7692,0.810985055451576,0.002431502642011242,4.650110303479396e-05
29,0.89838,0.28791863223393604,0.003357624205967829,3.3616484123316934e-05,0.7591,0.8185809396516782,0.0028611679236040474,0.000579300146946568
30,0.9004,0.2794276021721267,0.0034050454836343524,0.00030280257216479397,0.7788,0.7625099787601648,0.0024338331181011476,5.709400418080358e-05
31,0.94068,0.1751958212778878,0.003404998635386533,0.00036093090877540186,0.791,0.7397055012730364,0.0024679031182099475,4.742762562314101e-05
32,0.95456,0.1386908396925975,0.0033638812981982985,7.130319826820316e-05,0.7917,0.771295617039973,0.0024500566931458536,0.00010422161939165463
33,0.9605,0.11830593831956349,0.003505262870140103,0.0004910374334330023,0.7882,0.8029287710738259,0.0024786852460098674,7.124073215002862e-05
34,0.96526,0.10437986255168762,0.003421887720517799,0.0003020673077216858,0.7896,0.8370519710329775,0.0024852317126267723,7.31820826854394e-05
35,0.97006,0.09237780873630952,0.003602216364668357,0.0006235446510003059,0.7895,0.8709757897419671,0.0024916351693436895,0.00013326960678280102
36,0.97012,0.08910368511158918,0.003508651467599429,0.000546252773745786,0.7876,0.9010552307382559,0.002456140242999207,7.366574889607434e-05
37,0.97326,0.07909229671867399,0.004168371458121373,0.0008595531359695014,0.7896,0.9148103952312622,0.002541262751107458,0.00029169692349715866
38,0.97644,0.07070868181556902,0.0038393037420083706,0.0007846813616295194,0.7879,0.9447848147001511,0.002500683805170155,6.829631448942808e-05
39,0.9789,0.06530786041106006,0.003785884552209588,0.0007373046308656295,0.7885,0.971180646373822,0.002678642811338468,0.0005029513176087305
40,0.98084,0.059888392257827716,0.003521595836932819,0.0005452267099252017,0.787,0.9972394334432035,0.0024727507859908086,0.00019108398552650124
41,0.98072,0.0585689058268749,0.003498374605759353,0.0005091827798432535,0.7896,1.016882443961244,0.002632676674205194,0.00039500816270342844
42,0.98314,0.052538605844238515,0.0033490998681798673,0.00018915392955357247,0.7894,1.0445317078036622,0.0024324070324544043,4.790622270026169e-05
43,0.98278,0.05147074092410729,0.0033187414266157007,3.061217218191486e-05,0.7865,1.0575953324477132,0.002457477814738658,7.288894734779954e-05
44,0.98502,0.04647373904307836,0.003313543044923854,2.9941907946927356e-05,0.7875,1.089240487962485,0.002486157604012848,6.627083083464772e-05
45,0.98538,0.0453651613500434,0.0035955485180963645,0.0005977744036207047,0.7875,1.1091579979600998,0.002654114073762981,0.0004687427613792077
46,0.9863,0.042278541765644696,0.0035319662188300527,0.0005316894860918398,0.7864,1.130697482310164,0.00246809271583408,6.465264985238695e-05
47,0.9869,0.04085528537373625,0.0033219797729015284,3.2726210482649164e-05,0.7816,1.153737348394272,0.002537063223469003,0.00035962847630555567
