epoch,train/accuracy,train/loss,train/time_mean,train/time_std,valid/accuracy,valid/loss,valid/time_mean,valid/time_std
1,0.45544,1.4605336060755847,0.004622888435040298,0.00046871326224827176,0.5717,1.1953096835377117,0.0036470070609617563,0.0006291454113930197
2,0.62004,1.0603912004048597,0.0046273049530523285,6.312695174661318e-05,0.6399,1.000908132368764,0.0035658201278810694,0.0005541676796537488
3,0.6726,0.911233833087078,0.004626392395633257,0.00011833976383533398,0.6959,0.8468344078277247,0.0036289201434846737,0.0006230817635775204
4,0.71194,0.8104472671345267,0.004622501066548262,0.00013255648433190242,0.7186,0.8018364079844076,0.003381724974589449,6.166374064093765e-05
5,0.7414,0.734723862153326,0.004740560535400044,0.000501915812236015,0.7369,0.7587112954820687,0.003371650747231062,6.861020567798626e-05
6,0.76078,0.6795620071110021,0.004562120042852351,7.430153195577655e-05,0.7512,0.7111661503680597,0.0036567845784879764,0.0006707909134344715
7,0.77588,0.6392861279591642,0.004811148867529464,0.0006771905003559195,0.7649,0.6896969056643617,0.0035458461664815673,0.0005021504658839184
8,0.78964,0.6009245942074446,0.004961313642508181,0.0008359409793335038,0.7729,0.6662657925972162,0.0034210197441112518,6.923043082058511e-05
9,0.80116,0.5720114272543046,0.004604769486991521,0.00033081900405964654,0.7886,0.6218139939129163,0.003426573175340727,6.717275239615334e-05
10,0.80716,0.5457489073409991,0.004645102746709534,0.00020837284624887763,0.7909,0.6219478878207481,0.003608679894821721,0.0005817645516588022
11,0.8192,0.5190211773414454,0.004650840810682194,0.0002410380714492178,0.7986,0.5864482356336551,0.0033722479966991304,6.447895884265366e-05
12,0.8268,0.4940340137365378,0.004609299486331548,0.000134277029043412,0.7863,0.6271996081065827,0.0034134029519570152,6.1235525136855e-05
13,0.83152,0.47770848157157214,0.004610766785113026,0.00022891130991645536,0.783,0.6514748511508631,0.003419285191614672,8.011115847127506e-05
14,0.837,0.45906920971316706,0.004665698955613945,0.00024115314651808618,0.803,0.5796754504449833,0.003607430620105586,0.0005792620677696693
15,0.8431,0.44665874001675515,0.004996032699407734,0.0008480337341850805,0.7967,0.6143398568176994,0.003404278293833696,8.066239607935285e-05
16,0.84888,0.42828689843549683,0.004979695595094936,0.000822508409613708,0.801,0.5923282908269772,0.0033746530095352598,6.126254165103095e-05
17,0.85522,0.41167795492225323,0.004556874411817958,4.491334540457001e-05,0.8005,0.5983294178121767,0.0036419018274660374,0.0006934849936115576
18,0.85746,0.4013034298739522,0.004696376044683409,0.0004281915188196954,0.8066,0.5804501953311622,0.003434521543390576,0.0002212510979385754
19,0.8634,0.3872903167476886,0.004600119756820557,0.0002737616557394984,0.7997,0.6055612323192743,0.0034254147987213945,5.6939067128767536e-05
20,0.86762,0.3751214282040175,0.004638077294673998,0.00032000191812165123,0.807,0.5907268069993955,0.0034299531372538514,7.584309668848065e-05
21,0.87338,0.3619175992300704,0.004633714767758808,0.00030519501353563075,0.8067,0.5911221618707568,0.0033867781381245504,7.810615491387277e-05
22,0.87536,0.3532857614082552,0.0048383361880801725,0.0006444004415149517,0.812,0.5739106557096917,0.003405412335559494,5.844975119385765e-05
23,0.87764,0.3466577027052622,0.004609979173100836,0.00013576723607644945,0.8094,0.6018058651457199,0.0034172996230436097,5.779888265434251e-05
24,0.8817,0.3336966793581376,0.00465305719301325,0.00039137643988106227,0.8159,0.5848518437185226,0.003374194587337615,6.749431818212706e-05
25,0.88458,0.32817922468682703,0.005065574370110029,0.0008903448789505893,0.8091,0.5870177845080821,0.003433683929942956,0.0002177219873271746
26,0.88686,0.3178754965283134,0.004590562360131591,0.00018703731539350486,0.8134,0.5996183033663625,0.0033833582744879362,6.086285584632716e-05
27,0.88994,0.30981557418235356,0.004573529539588852,5.728419533167884e-05,0.8052,0.6195790636510895,0.003395442472630963,9.284320540359124e-05
28,0.89296,0.3012751471859022,0.004575060908488619,0.0001809246083863808,0.8078,0.6272380207293331,0.0034263358844188263,7.224622363344554e-05
29,0.89698,0.29029250070595697,0.004751393173436422,0.0006005615798596203,0.8144,0.5866536593284851,0.0034287685048881734,9.423110743102661e-05
30,0.89626,0.2880502699690222,0.004607832670677379,0.00021146090630970885,0.8128,0.6267374417366692,0.003476680206959121,0.00041786208752148894
31,0.93058,0.19978873010293383,0.004638650246236088,0.00026129178035003836,0.8304,0.5380892332512349,0.003538763598055793,0.00048534034989613383
