epoch,train/accuracy,train/loss,train/time_mean,train/time_std,valid/accuracy,valid/loss,valid/time_mean,valid/time_std
1,0.9379666666666666,0.19970552464326222,0.001963946024509884,0.00039640366063860234,0.9846,0.04580106957556721,0.0013267418561940685,5.391985867553664e-05
2,0.9792833333333333,0.07040006644129754,0.0019734431754914114,0.00034101002973116885,0.9888,0.03635285202021035,0.001298447533561255,4.9766064300733016e-05
3,0.9842166666666666,0.052225724107027055,0.0018714185434694323,0.00021041279987328603,0.9898,0.03381084129452325,0.0013302086741364015,0.00010068929218256984
4,0.9865666666666667,0.0442642198741436,0.0018671732320003987,0.00014938970433364335,0.9873,0.043268646378391465,0.0013014746357406658,4.903393452164329e-05
5,0.9884833333333334,0.03843317377368609,0.0018479560373535302,0.00012181100069803412,0.9911,0.02946637051935775,0.001300471246037913,8.365706384363874e-05
6,0.9906833333333334,0.031818777873118716,0.001853037666658444,0.00014569449434463587,0.9909,0.02993136443221531,0.0013204579871746126,4.9785366046559415e-05
7,0.9915,0.02813040806055069,0.0018765697247911399,0.00017276257893140515,0.9917,0.026581661198466732,0.0013026003482210012,4.7355482513035315e-05
8,0.9922666666666666,0.02495379542907079,0.001922429121087771,0.00029591927429248246,0.9925,0.029359941831983316,0.0012982645303722916,0.00011551205612481035
9,0.9932833333333333,0.021632228962580363,0.0018397767258934133,0.00011628479975363559,0.9914,0.03371249294033447,0.0013016938306527925,0.00010958264808681022
10,0.9935166666666667,0.020687219647566476,0.0018415122602581202,7.351884854552925e-05,0.991,0.030098956494856947,0.0012884187763643313,3.6475070060486396e-05
11,0.9937666666666667,0.019185484647750856,0.0019138609887624626,0.00025168766655978296,0.9911,0.030038194463085442,0.0012798392077113933,3.6056941300345126e-05
12,0.99465,0.01698341268102328,0.0018551055077211155,0.00011303201362857061,0.9924,0.025906032909410067,0.0012848934920054835,4.742417616531607e-05
13,0.9953166666666666,0.015451655455430348,0.001892068879996077,0.0002461600394298693,0.9919,0.028627667897425522,0.0013439580735094684,5.987386491056098e-05
14,0.9952333333333333,0.015444671773910523,0.0018433231615956173,0.00012856981304134145,0.9905,0.033160458881253255,0.001302538392953753,3.815953975969946e-05
15,0.9956,0.013748661231994629,0.0019218103744186616,0.0002895529141763925,0.9909,0.036392388300012096,0.0012996310575463705,5.681275262143218e-05
16,0.9959666666666667,0.013807731515169144,0.0018486523189038659,0.00011470722691899463,0.9934,0.02258178622673114,0.0013164205814067095,0.00016489564556820087
17,0.9959,0.012876844195524852,0.0018854945503961062,0.00022709784056567804,0.9931,0.026334877450245257,0.0013017485079981502,4.277434155447933e-05
18,0.9959666666666667,0.01264728144009908,0.0018363335466274294,7.914188230964613e-05,0.9927,0.023194482198919352,0.0014860285942695816,0.0003122945852568257
19,0.9960333333333333,0.012923434060811997,0.001843361800017495,7.306986979956609e-05,0.9931,0.023202885787327068,0.001328991619783964,5.798871554903778e-05
20,0.9969333333333333,0.009758770942687988,0.001928114407430015,0.00029651765288654994,0.9931,0.023205516270745675,0.0013050733961598906,5.267444738675505e-05
21,0.9989333333333333,0.0035248711228370666,0.0019523012367959989,0.00032784279365012984,0.994,0.01885056317138215,0.001304728412109828,5.2892915747718176e-05
22,0.9995333333333334,0.0017191534717877705,0.0019819195290687883,0.00035669322252794176,0.9943,0.019324497197763607,0.0013204863290286648,6.302744400379592e-05
23,0.9997833333333334,0.0011766015926996866,0.001965446256552241,0.00033248907535700026,0.9943,0.018193285876569657,0.0013156373450317206,5.4943246459250265e-05
24,0.9999,0.0006459093570709228,0.0019054730341536924,0.0002559997785013242,0.9944,0.01908307165478746,0.0012963343994202316,5.1231257485984436e-05
25,0.99995,0.0004661463499069214,0.0019163614874792984,0.000288679219323209,0.9943,0.02078143557230124,0.001431746996800916,0.00022782038400357012
26,0.99985,0.0005868943810462951,0.0019000266901256207,0.00025983901242599496,0.995,0.020104752871365594,0.0012821702971436049,3.820570071975526e-05
27,0.9999166666666667,0.00035262709856033323,0.0019416681653625953,0.0003119185883310544,0.9951,0.020009974059395898,0.0014322774025926608,0.00028013586782149364
28,0.9999833333333333,0.000246815554300944,0.0018794531039961536,0.00022805563517360171,0.9948,0.020018079624579736,0.0015997214696470766,0.0003417589293464863
29,0.99995,0.00025232888062795,0.0018680385680064015,0.00017504612513277303,0.9948,0.021325706483457035,0.001318460322672705,0.00011396764939361049
30,0.9998833333333333,0.0003922834038734436,0.0018318688165134519,2.444111947865666e-05,0.9945,0.022419298061737997,0.0013210584760419732,5.453077473260422e-05
31,0.9999833333333333,0.00015242149829864502,0.0019451980874572957,0.00030829288893960367,0.9945,0.022557588621450308,0.0013099924855891666,5.1564408659739704e-05
32,0.99995,0.00029970808029174806,0.001876572124287486,0.00021088820680258374,0.9947,0.02382597084433888,0.001324545044687479,5.4349868828020045e-05
33,0.9999333333333333,0.0002277231454849243,0.0018498773183964659,0.00015158489680700278,0.995,0.023599330300149827,0.0013104410766488716,4.8325095992545797e-05
34,1.0,0.00010311114788055419,0.0018506492138558922,0.00016267268130035174,0.9944,0.02270706709676657,0.0012949055304058816,0.00010825348408204208
35,0.9999666666666667,0.00020790236790974934,0.0019065531589100525,0.0002725571126740382,0.9942,0.02402074635028839,0.0013715337443866297,0.00021000259544180132
36,0.9999166666666667,0.0002983875274658203,0.0018951371141263129,0.0002233952648187021,0.9946,0.02403936770777352,0.0014699821564984547,0.00029908758805003306
37,0.9999833333333333,0.0001779273509979248,0.0019269005659259468,0.00029251143580652473,0.9942,0.02445691854904254,0.0013314902045209011,5.7717048478955865e-05
38,1.0,0.00010621059735616048,0.001845920569607794,2.6725111198378134e-05,0.9945,0.024419119682746192,0.0013099198210363339,5.7406374544738905e-05
39,0.9999333333333333,0.00027284231980641684,0.0019064879349035132,0.00023762807933228476,0.9952,0.0232803990570501,0.0012992426006200786,6.193381572239335e-05
40,1.0,0.00012376007239023844,0.001938423150923336,0.00030770729142918656,0.9947,0.02577736616705934,0.0013048738338037977,3.691264702392412e-05
