epoch,train/accuracy,valid/accuracy,train/loss,valid/loss,train/time_mean,train/time_std,valid/time_mean,valid/time_std
1,0.2906,0.33575,1.8570116021830565,1.7405500197410584,0.005002065099016496,0.0015029596310380856,0.003396474319510162,0.00012565174909153488
2,0.3704,0.39275,1.626660053897056,1.6758841223716736,0.004896039036428853,0.0005861156198951821,0.0033829917814582585,0.00021852497358686423
3,0.4188,0.4345,1.506035248185419,1.5393688991069794,0.004751480049542655,0.00016893108799047652,0.0034225197518244384,0.00016522625804380232
4,0.4588,0.472625,1.4051142714585467,1.4020134315490722,0.005104477515823807,0.0007950163558394569,0.003372453206218779,8.367578235488457e-05
5,0.4878,0.47325,1.3276830725609117,1.4026070299148559,0.004720568702894316,0.00012755199360535218,0.0034465527962893247,0.00028685964661878866
6,0.512,0.52975,1.2847503063025747,1.2777905147075652,0.004823649362927884,0.00040761103729299795,0.003582933433353901,0.0005215974983219885
7,0.5576,0.555375,1.2032451063964018,1.2388660111427308,0.005124930731335263,0.0007849952082492435,0.0033543959446251394,6.807909816560555e-05
8,0.5786,0.5325,1.1447024383362692,1.2892427084445954,0.004795442922574699,9.945432138461642e-05,0.0034114325381815434,7.33594575171556e-05
9,0.6014,0.56,1.0578287574136334,1.2283737690448762,0.004930661524094309,0.000634401164426103,0.0034434903506189584,0.0003638005983154286
10,0.6132,0.505,1.0406983084739394,1.381564650774002,0.0048103603833966006,0.00034039222723112537,0.00344691760558635,0.00036021590890343856
11,0.6392,0.569125,0.9843135578617169,1.1890608851909636,0.004977007384655202,0.0006357144929928194,0.003380366995930672,7.895853375441556e-05
12,0.66,0.550125,0.926070094488229,1.267361117362976,0.005052293665635928,0.0007299309592401126,0.00349060068000108,0.0004241117371573271
13,0.6752,0.577,0.8957542110780242,1.2090626533031463,0.0047417751003270316,0.00026612237183223767,0.003430601418018341,0.0003236699349008931
14,0.6822,0.589125,0.8556985853204302,1.1740611028671264,0.004727105922985134,0.00010025194569654141,0.0034705691328272225,0.00031977121689465436
15,0.7106,0.59825,0.8053307466825862,1.1882674810886382,0.004986664815657553,0.0006407235717160301,0.00347136315330863,0.0003492644500878286
16,0.7372,0.560125,0.7238082422572336,1.3116590268611907,0.00479378547833841,0.00016729877341669242,0.003376860017888248,0.0002014192489188603
17,0.7384,0.590125,0.7207773642934812,1.2035642597675325,0.005175208201287848,0.0008289639193043823,0.0033794838674366472,0.00016468061824439082
18,0.7682,0.5795,0.6621207522738511,1.3260432860851288,0.0047274120255806455,0.00010004532048367959,0.003355037884786725,6.310096124159134e-05
19,0.7936,0.589,0.5810465932272042,1.2792202394008636,0.005263818284069561,0.0008638572549241592,0.0034087956650182606,0.0001722245926048541
20,0.7986,0.615375,0.5772030882205174,1.2191929825544356,0.00472748524711058,0.0001474840285431571,0.003547991362400353,0.0004651545153771926
21,0.8102,0.589125,0.5291417919716258,1.2865536990165711,0.004983267779491699,0.0006364599197008661,0.00343235373031348,0.0002549200962911561
22,0.8206,0.5585,0.4970153243678391,1.5074971311092378,0.005193573950677161,0.0008277298108644619,0.0033655125172808767,0.00017259498092970545
23,0.8404,0.586375,0.4490759591957566,1.453567497730255,0.00481214216661159,0.00024509393432655785,0.003440197334624827,0.0003129114056038475
24,0.86,0.5855,0.39818212560787325,1.52784672665596,0.004815561971241596,0.00031588288666074143,0.0036995672415941956,0.0006036536524585597
25,0.8584,0.6155,0.4045882082668839,1.3674684195518494,0.004833981772932183,0.0003589389154962343,0.003406344843097031,0.0002324649343920364
26,0.8744,0.58875,0.35615451662403763,1.5206453144550323,0.004813390905571402,0.0003110529244549191,0.0034364068191498516,0.0002516759392259645
27,0.893,0.56625,0.30106436503920586,1.8619415574073792,0.0049342449493468945,0.000549191976990488,0.0036319808242842554,0.0005437010752982231
28,0.8976,0.5955,0.28180507793548,1.6132732722759247,0.004886753335120572,0.00046179194506048817,0.0033794097304344177,0.0001523293002283853
29,0.914,0.607875,0.24473508691806703,1.5822453067302704,0.004876391285923636,0.0004853136187207157,0.0033625839091837406,8.012122598402013e-05
30,0.9052,0.591875,0.2708931190857462,1.684126824617386,0.004752762372469067,0.0002815739446766622,0.0034994406383484604,0.0003029746271033391
31,0.92,0.607875,0.22571011290998216,1.6338323225975038,0.004775502305228714,0.00011521319494374262,0.0034356156066060067,0.00024465576667461906
32,0.9282,0.597375,0.20333483162674176,1.686787991285324,0.00492069413321935,0.0005580367283127455,0.003379606765694916,0.00022715366603089435
33,0.9344,0.612,0.196078595296023,1.6373923363685607,0.004940566591989652,0.000600677195733831,0.003505405289120972,0.00038600963061060826
34,0.938,0.592625,0.1782112726882385,1.7406877565383911,0.004782465967248864,0.00019143689348373265,0.003404669666662812,9.16419819279959e-05
35,0.9582,0.603125,0.13648533868561885,1.7524449880123139,0.004739745419211449,0.00010642161761128867,0.0033872864954173566,0.00015523126045566336
36,0.955,0.5935,0.1431130623433051,1.9474830486774444,0.005133726684507101,0.0007699586172371074,0.0034383040852844714,0.00026744561522722257
37,0.94,0.567875,0.16803050268987182,2.067740083217621,0.004885772327672999,0.0005065739145284164,0.003379969705827534,0.00011812656481180139
38,0.9346,0.605,0.18329312271515655,1.7748884167671204,0.004918515221008165,0.0006084908868038219,0.0034275653054937722,9.904390918989368e-05
39,0.963,0.597875,0.11180397806463728,1.9213786184787751,0.004794987777224297,0.00011000103565552185,0.0034090966768562793,0.0001709297602939275
40,0.9714,0.610375,0.09033440573105386,2.0107121937274934,0.0050974570965145235,0.0007693499309724102,0.0035754006346687675,0.0004913030402862384
41,0.9812,0.638,0.05479413235358372,1.7406578669548034,0.0048502272893645015,0.0003367725127322986,0.003349541557952762,6.235042397416079e-05
42,0.992,0.638375,0.031192633495399146,1.7541396539211274,0.0048966338074985585,0.0005178468379083594,0.003455342600122094,0.0003391393657646261
43,0.9948,0.640125,0.02050016737382883,1.7781630308628082,0.0048772460502234235,0.0004553245255433794,0.0035129081290215256,0.0004104132412281191
44,0.9984,0.639875,0.012774429272172177,1.8065967503786087,0.004999659211036696,0.0006442800210081942,0.0034888060446828604,0.0004162707444504161
45,0.9968,0.63875,0.015578846731905346,1.8484603054523467,0.005024804500862956,0.0006899520136637336,0.0034198817424476147,0.00032686107017486956
46,0.9986,0.638875,0.01144648811358745,1.828905522108078,0.004721334175900763,0.00010952103106712783,0.0035643368540331723,0.0003415357406955594
47,0.9988,0.64325,0.015997992739508485,1.8494106584787369,0.004942323401522864,0.0006284629022178786,0.0033936274163424967,7.080538635172262e-05
48,0.9986,0.6385,0.009455068582657036,1.8349051115512849,0.004815946270824428,0.00025591334347734056,0.003524767174385488,0.0004538538682652651
49,0.9996,0.641125,0.007574666481299006,1.8514978063106537,0.004729642482343943,9.366823070129016e-05,0.0033703778199851513,0.0001986177975655977
50,0.9984,0.641125,0.008029349065225596,1.8790537662506104,0.004843837301288346,0.0004763173320223063,0.0034161833487451076,8.152938690556733e-05
51,0.9988,0.637375,0.010870423417087573,1.9173953952789307,0.004851482866426847,0.00039330537648032206,0.003692017431370914,0.0005867964819469308
52,0.9984,0.638125,0.009908929218057614,1.9479500849246978,0.004880855602930021,0.0004546474586901803,0.003420055338181555,0.0001049545576216211
53,0.9986,0.63775,0.007701303714969356,1.9596992843151093,0.005015463927155657,0.0006768545030881222,0.0036192833678796886,0.0006022728937739541
54,0.9992,0.642375,0.00488007910976744,1.9598105347156525,0.004844487548337146,0.00041426416404307217,0.0034157744450494646,0.0002462054881056181
55,0.999,0.63725,0.006061697521122398,2.0305849088430405,0.005021061718606266,0.000711731441924392,0.003422550884075463,0.00023814965880337126
